trialnr	block	run	stim	keypress	go_nogo	face_onset	signal_onset	resp_onset	RT	accuracy	respmap	block_type
0	0	0	c_6.jpg	1	go	26079.970899008913	26413.261375011643	26946.663424008875	533.4020489972318	1	0	c_n
1	0	0	c_4.jpg	1	no-go	28763.28415100579	29230.0612120016	29663.233097002376	433.17188500077464	0	0	c_n
2	0	0	c_3.jpg	1	go	31746.812968005543	32113.20703700767	32963.28341400658	850.0763769989135	1	0	c_n
3	0	0	c_1.jpg	0	no-go	34779.81529101089	35279.82269100903	36313.20604000939	1033.3833490003599	1	0	c_n
4	0	0	c_7.jpg	1	go	38046.45664000418	38479.78014900582	38813.14933800604	333.36918900022283	1	0	c_n
5	0	0	c_5.jpg	0	no-go	41029.76780800964	41313.11375500809	42329.997936001746	1016.8841809936566	1	0	c_n
6	0	0	c_0.jpg	1	no-go	43796.42791900551	44197.24663501256	44796.364649999305	599.1180149867432	0	0	c_n
7	0	0	c_8.jpg	1	go	46463.04768200207	46679.7242850007	47279.68387000146	599.9595850007609	1	0	c_n
8	0	0	c_2.jpg	1	no-go	49296.309930010466	49596.334406000096	49863.00892500731	266.6745190072106	0	0	c_n
