trialnr	block	run	stim	keypress	go_nogo	face_onset	signal_onset	resp_onset	RT	accuracy	respmap	block_type
14	7	1	c_10.jpg	1	go	602344.996211	602695.014216	603011.631208	316.616991228	1	0	c_n
15	7	1	c_16.jpg	1	no-go	604961.659887	605394.934689	605678.358576	283.423886907	0	0	c_n
16	7	1	c_0.jpg	1	no-go	608094.927299	608361.671499	608694.900731	333.229231913	0	0	c_n
17	7	1	c_1.jpg	1	go	610944.995742	611361.676778	611694.889588	333.212810281	1	0	c_n
0	0	1	s_1.jpg	1	go	614828.405964	615361.628686	615795.080314	433.451627735	1	0	s_n
1	0	1	s_3.jpg	1	no-go	617778.397694	618161.842519	618478.317287	316.474768161	0	0	s_n
2	0	1	s_10.jpg	1	go	620545.055681	620878.394293	621228.397636	350.003342975	1	0	s_n
3	0	1	s_11.jpg	1	go	623195.027999	623511.650855	623861.664755	350.013899739	1	0	s_n
4	0	1	s_16.jpg	1	go	626011.641471	626245.044772	626595.041371	349.996598376	1	0	s_n
5	0	1	s_2.jpg	1	no-go	628678.360922	629128.498687	629478.380334	349.881646948	0	0	s_n
6	0	1	s_13.jpg	1	go	631894.958442	632244.97762	632561.721292	316.743672392	1	0	s_n
7	0	1	s_7.jpg	1	no-go	634744.944483	635211.761349	635511.719767	299.958418081	0	0	s_n
8	0	1	s_18.jpg	1	go	637895.055212	638295.041899	638611.705516	316.663616934	1	0	s_n
9	0	1	s_12.jpg	1	go	640745.028351	641178.359455	641528.296819	349.937363202	1	0	s_n
10	0	1	s_5.jpg	1	go	643861.692906	644128.288725	644528.297405	400.008680005	1	0	s_n
11	0	1	s_8.jpg	1	go	646761.701	647045.033981	647611.632205	566.598223648	1	0	s_n
12	0	1	s_4.jpg	1	no-go	649328.352887	649745.00929	650111.606986	366.597695811	0	0	s_n
13	0	1	s_6.jpg	1	go	652478.355702	652728.334882	653111.621061	383.286179789	1	0	s_n
14	0	1	s_0.jpg	1	go	655361.873837	655661.697657	655995.013982	333.316325214	1	0	s_n
15	0	1	s_17.jpg	1	go	657928.313123	658144.931756	658894.968998	750.037241916	1	0	s_n
16	0	1	s_14.jpg	1	no-go	660694.945597	661061.709269	661344.965714	283.256444904	0	0	s_n
17	0	1	s_15.jpg	1	go	663395.016504	663611.677951	663961.678948	350.000997027	1	0	s_n
0	1	1	c_3.jpg	1	go	668744.985244	669161.65279	669328.25465	166.601859867	1	0	c_g
1	1	1	c_0.jpg	1	go	671494.995801	671961.641999	672328.327668	366.685668841	1	0	c_g
2	1	1	c_10.jpg	1	go	674428.304032	674711.611502	675061.592851	349.981349718	1	0	c_g
3	1	1	c_14.jpg	1	go	677444.876685	677711.596546	678044.991168	333.394621212	1	0	c_g
4	1	1	c_12.jpg	1	go	680244.975274	680461.627337	680844.993865	383.36652849	1	0	c_g
5	1	1	c_13.jpg	1	go	683128.318636	683478.334002	683894.93117	416.597167972	1	0	c_g
6	1	1	c_16.jpg	1	go	686244.917212	686494.927475	687044.926947	549.999472161	1	0	c_g
7	1	1	c_15.jpg	1	go	689194.902491	689494.979966	689795.000845	300.020878933	1	0	c_g
8	1	1	c_6.jpg	1	go	691778.403853	692178.305205	692728.290895	549.98568972	1	0	c_g
