trialnr	block	run	stim	keypress	go_nogo	face_onset	signal_onset	resp_onset	RT	accuracy	respmap	block_type
17	4	1	s_14.jpg	1	go	877194.725665	877544.861261	877944.794577	399.933316442	1	0	s_g
0	5	1	n_17.jpg	1	go	882578.152895	882861.524291	883328.137646	466.61335501	1	0	n_n
1	5	1	n_7.jpg	0	no-go	885478.113776	885694.696047	887861.487049	2166.79100188	1	0	n_n
2	5	1	n_14.jpg	1	go	889361.470334	889794.768302	890161.480363	366.712060751	1	0	n_n
3	5	1	n_0.jpg	1	go	892294.770062	892761.431802	893078.024454	316.592652023	1	0	n_n
4	5	1	n_2.jpg	1	no-go	895527.961935	895828.022695	896327.959941	499.937245905	0	0	n_n
5	5	1	n_15.jpg	1	go	898094.770707	898378.084041	898894.827655	516.743613745	1	0	n_n
6	5	1	n_3.jpg	1	go	900944.802495	901394.76666	901744.741852	349.975191605	1	0	n_n
7	5	1	n_16.jpg	1	go	903728.108791	903994.874984	904544.882374	550.007389735	1	0	n_n
8	5	1	n_4.jpg	1	no-go	906378.132133	906761.311279	906777.991259	16.679979919	0	0	n_n
9	5	1	n_1.jpg	1	go	909361.33163	909694.716281	910011.36113	316.644849355	1	0	n_n
10	5	1	n_5.jpg	1	go	912161.456611	912394.660506	912728.120814	333.460307741	1	0	n_n
11	5	1	n_18.jpg	1	go	914728.096182	915128.119817	915428.088792	299.968974845	1	0	n_n
12	5	1	n_8.jpg	1	go	917544.741324	918044.75364	918694.668482	649.914842106	1	0	n_n
13	5	1	n_13.jpg	1	go	920578.05847	920944.818916	921278.057532	333.238615703	1	0	n_n
14	5	1	n_11.jpg	1	go	923227.998825	923644.730591	923977.964222	333.233630565	1	0	n_n
15	5	1	n_10.jpg	1	no-go	926361.380015	926844.757511	927178.087032	333.329521169	0	0	n_n
16	5	1	n_12.jpg	1	go	929511.388989	929728.089144	930128.097237	400.008093518	1	0	n_n
17	5	1	n_6.jpg	1	no-go	932411.297086	932728.028149	933128.087853	400.059704363	0	0	n_n
0	6	1	c_5.jpg	1	go	936794.691766	937278.098	937811.485818	533.387817963	1	0	c_n
